,Class,HistoricalPrice,Id,Level,MarketValue,MinBuyout,Name,NumAuctions,Quantity,RegionAvgDailySold,RegionHistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionSaleAvg,RegionSaleRate,SubClass,VendorBuy,VendorSell,RegionQuantity_Log
0,Consumable,206000,4358,10,0,0,Rough Dynamite,0,0,0.0,99335,329496,2110734,29,0,0.0,Explosives and Devices,120,30,3.367295829986474
1,Consumable,70375,4360,14,109500,0,Rough Copper Bomb,0,0,0.0,163610,223668,290483,17,0,0.0,Explosives and Devices,240,60,2.833213344056216
2,Consumable,223488,4365,20,0,0,Coarse Dynamite,0,0,0.0,118084,222725,252092,11,0,0.0,Explosives and Devices,300,75,2.3978952727983707
3,Consumable,0,4366,17,0,0,Target Dummy,0,0,0.0,1166523,1595906,1638377,13,0,0.0,Explosives and Devices,300,75,2.5649493574615367
4,Consumable,20000,4367,20,0,0,Small Seaforium Charge,0,0,0.0,8741419,4054574,11913629,4,0,0.0,Explosives and Devices,600,150,1.3862943611198906
5,Consumable,0,4378,30,0,0,Heavy Dynamite,0,0,0.0,286285,224189,241266,7,0,0.0,Explosives and Devices,1400,350,1.9459101490553132
6,Consumable,0,4380,33,0,0,Big Bronze Bomb,0,0,0.0,245486,244894,391922,14,0,0.0,Explosives and Devices,2000,500,2.6390573296152584
7,Consumable,2593136,4384,30,1902973,0,Explosive Sheep,0,0,1.4,2834365,2850244,2542204,13,913194,0.14,Explosives and Devices,4000,1000,2.5649493574615367
8,Consumable,10000,4390,35,0,0,Iron Grenade,0,0,0.0,390094,282556,134805,24,0,0.0,Explosives and Devices,2000,500,3.1780538303479458
9,Consumable,17246098,4392,37,38015765,0,Advanced Target Dummy,0,0,1.05,19509825,24101751,19336103,4,8161994,0.35,Explosives and Devices,10000,2500,1.3862943611198906
10,Consumable,0,4394,43,0,0,Big Iron Bomb,0,0,11.39,4434638,4406531,5191099,20,5857271,0.67,Explosives and Devices,3000,750,2.995732273553991
11,Consumable,448909,4405,12,332528,0,Crude Scope,0,0,0.0,936913,1456027,1271376,3,0,0.0,Explosives and Devices,500,125,1.0986122886681098
12,Consumable,8536677,4406,22,5538029,6000000,Standard Scope,1,1,3.55,6580040,5755687,5682193,7,3345355,0.71,Explosives and Devices,2400,600,1.9459101490553132
13,Consumable,4067440,4407,36,0,0,Accurate Scope,0,0,1.5,4124878,5776829,3408859,4,2874617,0.5,Explosives and Devices,4800,1200,1.3862943611198906
14,Consumable,1000000,5507,27,0,0,Ornate Spyglass,0,0,0.34,4042527,3887676,2313620,3,54625,0.17,Explosives and Devices,2400,600,1.0986122886681098
15,Consumable,0,6714,25,0,0,Ez-Thro Dynamite,0,0,0.0,337563,364664,414921,13,0,0.0,Explosives and Devices,300,75,2.5649493574615367
16,Consumable,0,7148,33,0,0,Goblin Jumper Cables,0,0,0.0,44657236,45595848,49061699,1,0,0.0,Explosives and Devices,85,21,0.0
17,Consumable,0,10507,35,0,0,Solid Dynamite,0,0,12.5,2101210,2294167,2683224,29,3363488,0.5,Explosives and Devices,1400,350,3.367295829986474
18,Consumable,1172733,10562,47,991883,0,Hi-Explosive Bomb,0,0,0.0,414543,217886,247899,35,0,0.0,Explosives and Devices,3000,750,3.5553480614894135
19,Consumable,0,10586,45,0,0,The Big One,0,0,0.0,43662847,67718752,63373836,2,0,0.0,Explosives and Devices,3000,750,0.6931471805599453
20,Consumable,0,10978,20,0,0,Small Glimmering Shard,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
21,Consumable,0,10998,20,0,0,Lesser Astral Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
22,Consumable,0,11082,25,0,0,Greater Astral Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
23,Consumable,0,11083,25,0,0,Soul Dust,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
24,Consumable,0,11084,25,0,0,Large Glimmering Shard,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
25,Consumable,0,11134,30,0,0,Lesser Mystic Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
26,Consumable,0,11135,35,0,0,Greater Mystic Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
27,Consumable,0,11137,35,0,0,Vision Dust,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
28,Consumable,0,11138,30,0,0,Small Glowing Shard,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
29,Consumable,0,11139,35,0,0,Large Glowing Shard,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
30,Consumable,0,11174,40,0,0,Lesser Nether Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
31,Consumable,0,11175,45,0,0,Greater Nether Essence,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
32,Consumable,0,11176,45,0,0,Dream Dust,0,0,0.0,0,0,0,0,0,0.0,Explosives and Devices,0,0,-inf
